Algorytm,Rozmiar_N,Uklad_Danych,Sredni_Czas_s,Srednie_Porownania,Srednie_Zamiany
BubbleSort,100,random,0.000500,4867,2482
BubbleSort,100,ascending,0.000008,99,0
BubbleSort,100,descending,0.000505,4950,4945
BubbleSort,100,a_shaped,0.000402,4950,2498
BubbleSort,100,v_shaped,0.000306,3725,2448
HeapSort,100,random,0.000130,1027,581
HeapSort,100,ascending,0.000150,1083,637
HeapSort,100,descending,0.000118,946,515
HeapSort,100,a_shaped,0.000133,1056,592
HeapSort,100,v_shaped,0.000119,953,524
MergeSort,100,random,0.000131,543,0
MergeSort,100,ascending,0.000099,356,0
MergeSort,100,descending,0.000099,320,0
MergeSort,100,a_shaped,0.000102,385,0
MergeSort,100,v_shaped,0.000102,385,0
QuickSortIter,100,random,0.000105,719,446
QuickSortIter,100,ascending,0.000075,669,348
QuickSortIter,100,descending,0.000090,868,554
QuickSortIter,100,a_shaped,0.000087,987,417
QuickSortIter,100,v_shaped,0.000144,1829,995
QuickSortRec,100,random,0.000095,635,450
QuickSortRec,100,ascending,0.000085,672,443
QuickSortRec,100,descending,0.000095,666,499
QuickSortRec,100,a_shaped,0.000094,675,479
QuickSortRec,100,v_shaped,0.000087,640,474
ShellSort,100,random,0.000199,1629,318
ShellSort,100,ascending,0.000087,567,0
ShellSort,100,descending,0.000131,1008,174
ShellSort,100,a_shaped,0.000138,1126,184
ShellSort,100,v_shaped,0.000138,1126,181
BubbleSort,200,random,0.001600,19757,9798
BubbleSort,200,ascending,0.000013,199,0
BubbleSort,200,descending,0.001974,19900,19891
BubbleSort,200,a_shaped,0.001490,19900,9996
BubbleSort,200,v_shaped,0.001233,14950,9895
HeapSort,200,random,0.000307,2454,1360
HeapSort,200,ascending,0.000317,2580,1481
HeapSort,200,descending,0.000265,2275,1205
HeapSort,200,a_shaped,0.000306,2502,1374
HeapSort,200,v_shaped,0.000275,2291,1244
MergeSort,200,random,0.000256,1284,0
MergeSort,200,ascending,0.000230,812,0
MergeSort,200,descending,0.000210,738,0
MergeSort,200,a_shaped,0.000218,871,0
MergeSort,200,v_shaped,0.000217,871,0
QuickSortIter,200,random,0.000190,1632,1000
QuickSortIter,200,ascending,0.000158,1531,796
QuickSortIter,200,descending,0.000200,2151,1345
QuickSortIter,200,a_shaped,0.000210,2703,1087
QuickSortIter,200,v_shaped,0.000455,6905,3648
QuickSortRec,200,random,0.000201,1591,1098
QuickSortRec,200,ascending,0.000195,1541,1046
QuickSortRec,200,descending,0.000189,1617,1053
QuickSortRec,200,a_shaped,0.000189,1578,1027
QuickSortRec,200,v_shaped,0.000235,1620,1117
ShellSort,200,random,0.000453,4401,811
ShellSort,200,ascending,0.000163,1338,0
ShellSort,200,descending,0.000285,2411,404
ShellSort,200,a_shaped,0.000302,2667,408
ShellSort,200,v_shaped,0.000302,2667,394
BubbleSort,300,random,0.003517,44622,22393
BubbleSort,300,ascending,0.000015,299,0
BubbleSort,300,descending,0.004351,44850,44834
BubbleSort,300,a_shaped,0.003257,44850,22493
BubbleSort,300,v_shaped,0.002722,33675,22343
HeapSort,300,random,0.000484,4022,2210
HeapSort,300,ascending,0.000514,4224,2395
HeapSort,300,descending,0.000431,3761,1994
HeapSort,300,a_shaped,0.000487,4105,2232
HeapSort,300,v_shaped,0.000445,3793,2052
MergeSort,300,random,0.000395,2098,0
MergeSort,300,ascending,0.000326,1308,0
MergeSort,300,descending,0.000332,1189,0
MergeSort,300,a_shaped,0.000336,1393,0
MergeSort,300,v_shaped,0.000336,1393,0
QuickSortIter,300,random,0.000297,2684,1616
QuickSortIter,300,ascending,0.000241,2419,1241
QuickSortIter,300,descending,0.000343,3617,2241
QuickSortIter,300,a_shaped,0.000589,4772,1969
QuickSortIter,300,v_shaped,0.001221,15369,8120
QuickSortRec,300,random,0.000302,2464,1683
QuickSortRec,300,ascending,0.000295,2534,1651
QuickSortRec,300,descending,0.000327,2621,1765
QuickSortRec,300,a_shaped,0.000330,2665,1809
QuickSortRec,300,v_shaped,0.000320,2605,1674
ShellSort,300,random,0.001006,7859,1411
ShellSort,300,ascending,0.000553,2181,0
ShellSort,300,descending,0.001256,4072,538
ShellSort,300,a_shaped,0.001098,4352,608
ShellSort,300,v_shaped,0.000697,4352,606
BubbleSort,400,random,0.006897,79498,39421
BubbleSort,400,ascending,0.000023,399,0
BubbleSort,400,descending,0.008707,79800,79779
BubbleSort,400,a_shaped,0.006393,79800,39991
BubbleSort,400,v_shaped,0.005341,59900,39790
HeapSort,400,random,0.000700,5704,3117
HeapSort,400,ascending,0.000780,5983,3361
HeapSort,400,descending,0.000658,5354,2825
HeapSort,400,a_shaped,0.000710,5809,3150
HeapSort,400,v_shaped,0.000653,5348,2873
MergeSort,400,random,0.000569,2963,0
MergeSort,400,ascending,0.000483,1824,0
MergeSort,400,descending,0.000471,1677,0
MergeSort,400,a_shaped,0.000485,1943,0
MergeSort,400,v_shaped,0.000486,1943,0
QuickSortIter,400,random,0.000420,3801,2265
QuickSortIter,400,ascending,0.000350,3458,1786
QuickSortIter,400,descending,0.000488,5176,3170
QuickSortIter,400,a_shaped,0.000618,8022,3266
QuickSortIter,400,v_shaped,0.001983,26672,13946
QuickSortRec,400,random,0.000494,3506,2305
QuickSortRec,400,ascending,0.000483,3604,2278
QuickSortRec,400,descending,0.000475,3729,2427
QuickSortRec,400,a_shaped,0.000476,3776,2384
QuickSortRec,400,v_shaped,0.000468,3718,2414
ShellSort,400,random,0.001417,11537,2081
ShellSort,400,ascending,0.000439,3081,0
ShellSort,400,descending,0.000761,5532,978
ShellSort,400,a_shaped,0.000812,6152,904
ShellSort,400,v_shaped,0.000786,6152,896
BubbleSort,500,random,0.016031,124206,62629
BubbleSort,500,ascending,0.000029,499,0
BubbleSort,500,descending,0.015773,124750,124725
BubbleSort,500,a_shaped,0.010813,124750,62488
BubbleSort,500,v_shaped,0.009474,93625,62235
HeapSort,500,random,0.001022,7421,4040
HeapSort,500,ascending,0.001068,7746,4333
HeapSort,500,descending,0.000908,7012,3682
HeapSort,500,a_shaped,0.001046,7623,4117
HeapSort,500,v_shaped,0.000833,6918,3689
MergeSort,500,random,0.000764,3856,0
MergeSort,500,ascending,0.000647,2272,0
MergeSort,500,descending,0.000587,2229,0
MergeSort,500,a_shaped,0.000600,2493,0
MergeSort,500,v_shaped,0.000598,2493,0
QuickSortIter,500,random,0.000542,4904,2922
QuickSortIter,500,ascending,0.000425,4304,2262
QuickSortIter,500,descending,0.000638,6797,4154
QuickSortIter,500,a_shaped,0.001105,14846,6700
QuickSortIter,500,v_shaped,0.002882,42041,21789
QuickSortRec,500,random,0.000598,4889,3171
QuickSortRec,500,ascending,0.000579,4854,2991
QuickSortRec,500,descending,0.000600,4986,3245
QuickSortRec,500,a_shaped,0.000575,4864,3026
QuickSortRec,500,v_shaped,0.000645,4833,3183
ShellSort,500,random,0.001734,15637,2731
ShellSort,500,ascending,0.000489,3981,0
ShellSort,500,descending,0.000914,7336,1490
ShellSort,500,a_shaped,0.001326,7952,1143
ShellSort,500,v_shaped,0.000967,7952,1149
BubbleSort,1000,random,0.045870,498333,245799
BubbleSort,1000,ascending,0.000058,999,0
BubbleSort,1000,descending,0.065295,499500,499445
BubbleSort,1000,a_shaped,0.049361,499500,249974
BubbleSort,1000,v_shaped,0.039255,374750,249474
HeapSort,1000,random,0.002091,16867,9094
